adress,latitude,longitude,contents/0,contents/1,quantity,contents/2,contents/3,contents/4,contents/5,contents/6,contents/7,contents/8,contents/9,contents/10,contents/11,contents/12,contents/13,contents/14,contents/15,contents/16,contents/17,contents/18,contents/19,contents/20,contents/21,contents/22,contents/23,contents/24,contents/25,contents/26,contents/27,contents/28,contents/29,contents/30,contents/31,contents/32,contents/33,contents/34,contents/35,contents/36,contents/37,contents/38,contents/39,contents/40,contents/41,contents/42,contents/43,contents/44,contents/45,contents/46,contents/47,contents/48,contents/49,contents/50,contents/51,contents/52,contents/53,contents/54,contents/55,contents/56,contents/57,contents/58,contents/59,contents/60,contents/61,contents/62,contents/63,contents/64,contents/65,contents/66,contents/67,contents/68,contents/69,contents/70,contents/71,contents/72,contents/73,contents/74,contents/75,contents/76,contents/77,contents/78,contents/79,contents/80,contents/81,contents/82,contents/83,contents/84,contents/85,contents/86,contents/87,contents/88,contents/89,contents/90,contents/91,contents/92,contents/93,contents/94,contents/95,contents/96,contents/97,contents/98,contents/99,contents/100,contents/101,contents/102,contents/103,contents/104,contents/105,contents/106,contents/107,contents/108,contents/109,contents/110,contents/111,contents/112,contents/113,contents/114,contents/115,contents/116,contents/117,contents/118,contents/119
제주특별자치도 서귀포시 성산읍 수산리,33.4392962,126.8533722,지대가 낮아 도로 및 주위필지에서 우수유입,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 성산읍 신산리,33.3847609,126.8665211,해안가로 파도에 의한 해수 유입,지대가 낮아 빗물 및 바닷물 유입,51,파도에 의한 바닷물 유입,지대가 낮음으로 인해 주위필지로부터 우수 유입,지대가 조금 낮아 도로 및 주위필지에서 우수 유입,내수침수,내수침수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 성산읍 온평리,33.4097585,126.8901093,해안가로 도로보다 지대가 낮아 해수 유입,내수침수,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 강정동,33.2615636,126.49447,지대가 낮아 도로에서 우수 유입,상류 우수유입에 따른 침수,44,하천범람,하천범람,상류우수 유입에 의한 침수,하천범람,상류 우수유입에 따른 침수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 법환동,33.2444206,126.5108962,지반에서 물이 역류되어 침수,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 제주시 구좌읍 동복리,33.5354384,126.7180637,저지대로 인한 도로에서 빗물유입,도로에서 유수유입,42,저지대로 인해 대도로유수 유입,상류지역유수가 농로및 경작지를 따라 저지대로유입,저지대로 인해 주위에서 빗물유입,도로에서 유수유입 및 배수가어려운 토지형질,상류지역유수가농로 및 저지대 농경지로 유입되어 집중피해,저지대로 인해 주위에서 빗물유입,저지대로 인해 주위의유수가 유입,주위토지보다 저지대로 인해 빗물유입,내수침수,내수침수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 제주시 구좌읍 김녕리,33.5398407,126.746583,농로 및 상류지역 유수유입,농로보다 지대가 낮고 빗물을 차단할수 있는 돌담이 없어 집중유입,40,도로보다 지대가 낮아 빗물유입,도로우수가 대문으로 유입,저지대로 인해 주위에서 빗물유입,저지대로 인해 주위에서 빗물유입,내수침수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상북도 봉화군 명호면 도천리,36.867818,128.895856,집중호우로 인하여 급격히 늘어난 우수와 산사태로 운곡천의 수위상승으로 배수불량으로 침수 피해,집중호우로 인하여 급격히 늘어난 우수와 산사태로 운곡천의 수위상승으로 배수불량으로 침수 피해,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상북도 봉화군 명호면 풍호리,36.8436445,128.8765202,집중호우로 인하여 급격히 늘어난 우수와 산사태로 운곡천의 수위상승으로 배수불량으로 침수 피해,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도 고성군 고성읍 죽계리,34.9948082,128.3384428,집중호우로 인한 농경지 침수,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도 창원시 의창구 동읍,35.2847297,128.6823332,집중호우로 인한 농경지 침수,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도 창원시 의창구 북면 신촌리,35.3546031,128.6121202,집중호우로 인한 농경지 침수,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도 창원시 의창구 대산면,35.3354015,128.7082241,집중호우로 인한 농경지 침수,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도 의령군 용덕면,35.3482126,128.2911641,농경지침수,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도 의령군 정곡면,35.380555,128.3264018,농경지침수,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도 의령군 낙서면 정곡리,35.4782146,128.4010346,농경지침수,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울산광역시 남구 무거동,35.5510418,129.260725,집중호우에 의한 건물침수,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울산광역시 남구 삼산동,35.544405,129.3318295,집중호우에 의한 건물침수,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울산광역시 남구 신정동,35.5352835,129.3072816,집중호우에 의한 건물침수,집중호우에 의한 건물침수,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울산광역시 남구 야음동,35.5247721,129.3327481,집중호우에 의한 건물침수,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울산광역시 울주군 청량면 덕하리,35.482923,129.2893084,집중호우에 의한 농경지침수,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울산광역시 울주군 청량면 상남리,35.4866032,129.3127748,집중호우에 의한 농경지침수,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울산광역시 울주군 청량면,35.4932195,129.305922,집중호우에 의한 농경지침수,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인천광역시 계양구 이화동,37.5867154,126.73941,집중 호우로 인한 우수와 계양천의 수위상승으로 역류와 맞물려 배수불량에 의한 침수,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인천광역시 계양구,37.5369504,126.7377435,집중 호우로 인한 우수와 굴포천의 수위상승과 맞물려 배수불량에 의한 침수,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인천광역시 계양구 서운동,37.5309726,126.7511591,주변지역 성토로 배수불량 침수,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라남도 여수시 소라면 덕양리,34.7871266,127.6281305,태풍 에위니아로 인한 집중호우,만조위시 집중호우 침수 피해,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라남도 보성군 벌교읍,34.8475775,127.3416,해수 월류(만조 시)로 인한 피해 발생,해수 월류(만조 시)로 인한 피해와 지반유실로인한 침수,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라남도 순천시 장천동,34.9484982,127.4867136,태풍“나리” 집중호우로 인해 도로배수기능 저하,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라남도 순천시 조곡동,34.9557377,127.4968791,태풍“나리” 집중호우로 인해 도로배수기능 저하,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라남도 순천시,34.950637,127.4872135,태풍“나리” 집중호우로 인해 도로배수기능 저하,장동천과 용촌천의 합류부로 하천의 수위상승과 흐름의 지체로 내수배제가 않됨,22,삼청천 주위에 존재하여 하천의 수위상승과 흐름의 지체로 내수배제가 않됨,장동천과 용촌천의 합류부로 하천의 수위상승과 흐름의 지체로 내수배제가 않됨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라남도 순천시 연향동,34.9386358,127.5198669,태풍“나리” 집중호우로 인해 도로배수기능 저하,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라남도 영광군 법성면,35.3620265,126.4460554,2007년 3월 해수범람(만조 시)으로 인한 침수피해,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라남도 영광군 염산면 봉남리,35.2183034,126.36454,2007년 3월 해수월류(만조 시)으로 인한 침수피해,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라남도 진도군 진도읍 포산리,34.4699127,126.2332772,우수 및 하천 범람으로 농경지 침수,우수유입/ 내수침수/ 배수시설 미비,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라남도 진도군 진도읍,34.4807356,126.262934,우수 및 하천 범람으로 농경지 침수,우수유입/ 내수침수/ 배수시설 미비,22,태풍 덴빈에 의한 집중호우/ 내수침수/ 하천제방범람/ 배수시설 미비,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라남도 고흥군 고흥읍,34.6063835,127.2805008,집중호우와 하천 통수단면의 절대부족으로 하천범람,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라남도 고흥군 도양읍 봉암리,34.5321793,127.1485949,배수펌프장 노후와 하천 통수단면의 절대부족으로 하천범람,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라남도 고흥군 점암면 신안리,34.6491163,127.3377832,하천 배수여건 불량으로 하천범람,고지대 다량의 빗물 유입 및 하천범람,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라남도 고흥군 도양읍 장계리,34.5858686,127.1499345,집중호우와 만조 시 해수유입으로 침수,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라남도 고흥군 금산면,34.4588747,127.12501,집중호우와 하천의 범람,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라북도 군산시 대야면 산월리,35.9477454,126.8229848,우수유입/  저지대 및 배수불량(배수로 용량부족),,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라북도 군산시 나운동,35.9595484,126.6963588,우수유입/ 저지대로 인한 내수침수,국지성호우,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라북도 군산시 산북동,35.9620976,126.6529568,우수유입/ 저지대로 인한 내수침수 및 배수불량,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라북도 군산시 문화동,35.972634,126.704352,우수유입/ 저지대로 인한 내수침수 및 배수불량,국지성호우,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라북도 군산시 옥서면 선연리,35.9076695,126.6242401,우수유입/ 저지대로 인한 내수침수 및 배수불량,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라북도 군산시 소룡동,35.9742779,126.6792641,우수유입/  저지대 및 배수불량(배수로 용량부족),해안가 위치/ 저지대,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라북도 부안군 위도면 진리,35.6089686,126.3067147,해수면 범람,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라북도 부안군 줄포면,35.5903088,126.6776172,저지대 및 배수불량(하수관거 병목현상),,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라북도 부안군 하서면 장신리,35.7284749,126.6202422,집중호우,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라북도 부안군 하서면 백련리,35.6975486,126.6014391,집중호우,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라북도 부안군 하서면 석상리,35.702116,126.6426584,집중호우,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라북도 익산시 창인동1가,35.9410188,126.9512908,태풍 갈매기에 의한 집중호우,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라북도 익산시 중앙동1가,35.9397606,126.9480782,태풍 갈매기에 의한 집중호우,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라북도 익산시 주현동,35.934402,126.9565747,태풍 갈매기에 의한 집중호우,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라북도 익산시 동산동,35.9296771,126.9609603,태풍 갈매기에 의한 집중호우,집중호우,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전라북도 익산시 마동,35.9378711,126.9583493,태풍 갈매기에 의한 집중호우,태풍 갈매기에 의한 집중호우,15,집중호우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
